gene_symbol,Zc2hc1a
analysis_id,8mb12c7ji2e10g0
pvalue,0.5763132
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
gene_accession_id,MGI:1914556
