analysis_id,bvhb5o9aa595u63
gene_symbol,Sla2
parameter_id,MGP_IMM_130_001
pvalue,0.7559924
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1925049
