parameter_name,Hindlimb digit - size
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
analysis_id,029i9378h3a94n2
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.6153024
