gene_symbol,Usp37
parameter_id,IMPC_GEP_017_001
analysis_id,q4295wla0vgi807
parameter_name,Facial Morphology
pvalue,0.8420923
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2442483
