gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_id,MGP_MLN_076_001
pvalue,0.3484578
mouse_strain,C53BL
analysis_id,66o47zkrz0p69ob
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
