parameter_id,IMPC_ECH_003_001
gene_symbol,Bmi1
mouse_life_stage,Early adult
pvalue,0.3863048
analysis_id,5p259x598hzy72l
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_name,Stroke Volume
