gene_symbol,Duoxa2
parameter_name,Limb grasping
pvalue,0.4778071
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
parameter_id,ESLIM_008_001_017
analysis_id,7b6u50gu4n90354
