parameter_id,ICS_FEA_019_001
analysis_id,7w5g3806z4l0097
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8608511
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Alkbh3
