analysis_id,18970xsh8w3tr47
gene_accession_id,MGI:88174
parameter_id,ESLIM_016_001_005
gene_symbol,Bmi1
parameter_name,Mean cell volume
pvalue,0.8967524
mouse_strain,C57BL
mouse_life_stage,E15.5
