analysis_id,13fu444c33c918p
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
parameter_name,Average duration
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.3758745
mouse_strain,C57BL
