parameter_name,Total cholesterol
pvalue,0.2946515
mouse_strain,C57BL
analysis_id,b35jfckhwd3z537
mouse_life_stage,E12.5
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_CBC_015_001
