parameter_name,ST
gene_symbol,Eprs1
gene_accession_id,MGI:97838
analysis_id,p3rf7ps99xrs196
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4821214
parameter_id,IMPC_ECG_008_001
