parameter_name,Placenta Morphology
gene_symbol,Ints7
pvalue,0.2427951
analysis_id,1nt28hc83b09zyj
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
parameter_id,IMPC_GPO_002_001
