parameter_name,Thyroxine
pvalue,0.7152928
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,AU040320
analysis_id,1b50i25a4a8l4s0
gene_accession_id,MGI:2140475
parameter_id,IMPC_CBC_053_001
