gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
analysis_id,79uc8s63d4l57z9
mouse_strain,C57BL
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.2394132
