gene_symbol,Cds2
analysis_id,319bpt7l00z0d9e
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
pvalue,0.477023
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
