gene_symbol,Ubxn11
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914836
pvalue,0.5226128
parameter_id,MGP_IMM_110_001
parameter_name,Transitional 1 B cells - % of CD45+
analysis_id,b4p29r4a1pcfv1p
