parameter_name,Calcium
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
pvalue,0.7602962
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,q1xt62ai5dns5kd
