parameter_name,Click-evoked ABR threshold
analysis_id,72k97664l4u1ku7
gene_symbol,Sprr1b
pvalue,0.912751
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
