analysis_id,8mz2168d6u30ebg
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,Center average speed
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
pvalue,0.8917831
parameter_id,HRWLLA_OFD_017_001
