analysis_id,8217p1f4i88fot4
gene_symbol,Ssr2
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
pvalue,0.2887999
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
