analysis_id,e1442xcak0l76w9
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_name,Forebrain
gene_symbol,Wars2
pvalue,0.8019102
