gene_symbol,Gpbp1l1
parameter_id,IMPC_CBC_001_001
pvalue,0.5394417
analysis_id,24o65ce42y8sts0
mouse_life_stage,Early adult
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:1924360
