analysis_id,p11dd1fz8h2rf39
pvalue,0.5341796
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
gene_symbol,Hspa5
parameter_name,Hindpaw - size
mouse_strain,C57BL
gene_accession_id,MGI:95835
