gene_symbol,Dmap1
pvalue,0.8447807
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
parameter_name,Magnesium
mouse_strain,C57BL
analysis_id,d2vj592j515xnfg
parameter_id,M-G-P_025_001_030
