gene_symbol,Hnf4a
mouse_strain,C57BL
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
analysis_id,l7y641srn8912x5
gene_accession_id,MGI:109128
pvalue,0.9312501
