parameter_name,Skull shape
pvalue,0.8052521
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:2385884
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ddx27
analysis_id,742x40c5beexik7
