mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.5120683
parameter_name,Tibia length
mouse_life_stage,Late adult
analysis_id,j8q7x5i9mjp1851
parameter_id,IMPC_XRY_033_001
