gene_symbol,Cds2
mouse_strain,129SV
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
mouse_life_stage,Early adult
analysis_id,0dne9mbwhm02a30
gene_accession_id,MGI:1332236
pvalue,0.9218315
