analysis_id,cf7973r2u4maq25
gene_accession_id,MGI:1931749
parameter_name,B1B Cells
pvalue,0.2707433
parameter_id,IMPC_IMM_064_001
gene_symbol,Pum1
mouse_strain,C57BL
mouse_life_stage,Early adult
