parameter_name,Fat mass
gene_accession_id,MGI:106659
analysis_id,970jd322b398h60
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
gene_symbol,Sprr1b
pvalue,0.6239334
mouse_life_stage,Early adult
