parameter_name,Center average speed
gene_accession_id,MGI:2442483
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
pvalue,0.2044023
gene_symbol,Usp37
mouse_life_stage,Early adult
analysis_id,7idw0x6bw3f7g66
