analysis_id,4p3bpc2r6ge99q1
gene_accession_id,MGI:2446274
parameter_name,Corneal vascularization
gene_symbol,Frmpd1
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.379283
parameter_id,IMPC_EYE_009_001
