gene_symbol,Lcn2
pvalue,0.8496389
gene_accession_id,MGI:96757
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
analysis_id,c722v89f1d90380
mouse_life_stage,Early adult
parameter_name,Skull shape
