parameter_id,IMPC_DXA_003_001
pvalue,0.5016108
mouse_strain,C57BL
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
analysis_id,b9i0022ldh3j11u
parameter_name,Lean mass
