analysis_id,rd7kpz7fy706380
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
mouse_life_stage,Early adult
pvalue,0.05690915
parameter_name,% Pre-pulse inhibition - Global
