analysis_id,61j06x56e3vay38
gene_symbol,Inpp1
mouse_strain,129SV
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.8273658
parameter_name,Persistence of hyaloid vascular system
