gene_symbol,Fam163a
pvalue,0.1388604
gene_accession_id,MGI:3618859
mouse_life_stage,Early adult
parameter_name,RR
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
analysis_id,75q00ad38og2mku
