analysis_id,89h3633fu14d608
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Dmap1
pvalue,0.2904115
parameter_name,White blood cell-count
gene_accession_id,MGI:1913483
parameter_id,M-G-P_016_001_001
