parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,rt0zmvemj0nr6h0
gene_accession_id,MGI:3650254
parameter_name,T cells - % of CD45+
gene_symbol,Zfp683
pvalue,0.2219257
