parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
parameter_id,MGP_CSD_025_001
analysis_id,68g696pcs5z9d1u
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.7294835
