parameter_name,Gait
pvalue,0.7338818
analysis_id,96w9l3ln267k42g
Gene_accession_id,MGI:88174
Mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_id,IMPC_CSD_033_001
