gene_symbol,Ifi44
pvalue,0.3674753
gene_accession_id,MGI:2443016
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,488699abw6rq0eg
parameter_id,IMPC_EYE_016_001
parameter_name,Lens
