parameter_name,Embryo Size
mouse_life_stage,Early adult
analysis_id,2knh6z3z8jmrnqm
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.7575658
parameter_id,IMPC_GEO_019_001
gene_symbol,Car13
