analysis_id,667r503u8595179
mouse_life_stage,Early adult
pvalue,0.1130877
parameter_id,ESLIM_011_001_702
gene_symbol,Bmi1
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
gene_accession_id,MGI:88174
