parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
analysis_id,50586tm5hv6mv79
pvalue,0.7008682
gene_symbol,Etfdh
