parameter_id,TCPLA_CSD_030_001
pvalue,0.4846083
parameter_name,Tremor
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
analysis_id,2d672vr6d57qn1w
mouse_life_stage,Early adult
mouse_strain,C57BL
