analysis_id,s14n0i5k9o61w49
parameter_name,Persistence of hyaloid vascular system
gene_symbol,Dhdds
pvalue,0.4394614
gene_accession_id,MGI:1914672
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
