gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
analysis_id,99vcle03v25a72b
pvalue,0.8260567
parameter_name,NK cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
