parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
mouse_life_stage,Late adult
analysis_id,7yaaq6qwg40q2m5
gene_accession_id,MGI:109356
pvalue,1.17537
gene_symbol,Snap23
mouse_strain,C57BL
