parameter_name,Left total retinal thickness
mouse_life_stage,Early adult
gene_symbol,Stk35
mouse_strain,C57BL
gene_accession_id,MGI:1914583
analysis_id,lzlyk77nwi9eid8
parameter_id,IMPC_EYE_068_001
pvalue,0.1990562
