gene_symbol,Col6a3
mouse_strain,C57BL
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.9024538
parameter_id,MGP_IMM_101_001
analysis_id,97zc28ibydj9nm8
