parameter_name,Vitreous
gene_accession_id,MGI:2673000
analysis_id,t1du91w3z0u4i23
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trim46
pvalue,0.1902801
parameter_id,UCDLA_EYE_083_001
