analysis_id,7leo86h54344on7
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
mouse_strain,C57BL
pvalue,0.754905
gene_symbol,Hnf4a
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
