parameter_name,Creatinine
gene_symbol,Hrnr
parameter_id,JAX_URI_002_001
pvalue,0.8118002
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
analysis_id,y8g29hk8acm3l74
