analysis_id,jm6x5mig66860in
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
pvalue,0.6887157
parameter_name,Global prepulse inhibition
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
gene_symbol,Ap5s1
