parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.7355943
parameter_id,HMGULA_HWT_008_001
gene_symbol,Bcs1l
mouse_life_stage,E9.5
analysis_id,54e892q8505aiuo
gene_accession_id,MGI:1914071
