parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
gene_symbol,Etfdh
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,l46rxx4d40i7l6b
gene_accession_id,MGI:106100
pvalue,0.9047621
