analysis_id,e5u367puvl9yq44
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
gene_accession_id,MGI:2441730
pvalue,0.4721719
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
