parameter_name,Mean-cell-volume
analysis_id,12wn95o9xe03578
pvalue,0.6217719
mouse_strain,C57BL
gene_accession_id,MGI:105072
parameter_id,M-G-P_016_001_005
gene_symbol,Rab22a
mouse_life_stage,Early adult
