parameter_name,Heart weight
gene_symbol,Arpc2
analysis_id,2jt1e3457n50zc2
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3654409
gene_accession_id,MGI:1923959
