parameter_id,JAX_URI_002_001
gene_symbol,Cdin1
analysis_id,201lr665713evjz
pvalue,0.217068
mouse_strain,C59BL
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
parameter_name,Creatinine
