analysis_id,h4694p1j7sppw57
pvalue,0.5614405
parameter_id,IMPC_CSD_051_002
gene_symbol,Slc2a8
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:1860103
mouse_strain,C57BL
mouse_life_stage,Early adult
