analysis_id,on4lf8lt7ht36ae
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
pvalue,0.7928865
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
